insta_post_code,source_feed_code_ref,account_code_ref,vendor_code,hashtag,post_status,moderation_status,generated_image_asset,scheduled_upload_at,published_at,post_url,visibility_check,last_error_msg,post_code,caption copy,source_url,image_url,price,post_url copy,caption,retry_count,error_message,ig_media_id,like_count,comments_count
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696124324_4274098866066924_3788991841928397184_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=BJwJKtp1hjMQ7kNvwHWYXdL&_nc_oc=AdrOjvpKIKEqHSlrA0zKI_M1a-AWMtmDHi15zc9TV5EHMYcuj10TqFcG6TnkS5iUkgs&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=UfNvyoyoqxDagJTBR41BrA&_nc_ss=7b2a8&oh=00_Af73mOcTwpD7h9NhQhwz9UVbmPxjqSqiDxzNKGKMPk9XuQ&oe=6A0776DF,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/691698591_122211277748318790_3363681156625797453_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=101&ccb=1-7&_nc_sid=7b2446&_nc_ohc=R_69HJa7ou8Q7kNvwFomDzn&_nc_oc=AdrwlULabbMC2hANDJlZhcDZE9K8I_XR0pFxFIvcpenJsdOlTxjwkYiiYsU38vq4MOk&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=h7ZlzFZF3IXjZf2c6eKPag&_nc_ss=7b2a8&oh=00_Af5vO5x4xihmUhUZ2S5XsR_dGhmAFVdSaC57ChX0L6ssww&oe=6A0766C2,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696124324_4274098866066924_3788991841928397184_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=vKWjHoVa0rYQ7kNvwE7HbWC&_nc_oc=AdoN_PkC7O_QZ0md35iHyuMDH3cxPIUUlwJuDVs5Ndk-5v4hmg9x7IENO9BKn_jE2tw&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=jp1oeO139Ak3rnShtGRpDA&_nc_ss=7b2a8&oh=00_Af4v5JRNzpYLLP1X2_t2jDJmQwnaTV28wUoSAxDwbrW37g&oe=6A0776DF,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/696124324_4274098866066924_3788991841928397184_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=e06c5d&_nc_ohc=vKWjHoVa0rYQ7kNvwE7HbWC&_nc_oc=AdoN_PkC7O_QZ0md35iHyuMDH3cxPIUUlwJuDVs5Ndk-5v4hmg9x7IENO9BKn_jE2tw&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=s38mg4IfJW1G-wIe0hPtWg&_nc_ss=7b2a8&oh=00_Af4uLrB3G1enXAc4fduxICS36olwWDhtAXAgKJbCX9nn8g&oe=6A0776DF,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=Ci8_q96m0wVtXuqa4Bq1Tg&_nc_ss=7b2a8&oh=00_Af5mBqjktkFkJ1E31v3Ou1ckt4t2y_94WVdqspndlriLog&oe=6A079292,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=ODVT39IdAkDhT6kUAtalUw&_nc_ss=7b2a8&oh=00_Af7K8gxuC2OaLPnj_PsQeIKoZfF21IzKroSnYHuKLswi2w&oe=6A079292,,,,2,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=4m-KT-s8b5NnyhKIXnUDTA&_nc_ss=7b2a8&oh=00_Af64HbUI7c1fr3Bo419maKCWDypL-IqFu9YYGroq-1X9Pw&oe=6A079292,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=V3cZ-NIlr7T0lSB44Y2zew&_nc_ss=7b2a8&oh=00_Af5AN0s0KbIxkx3QbBF0m5hIgNIFQLmyMdfBkUvYb3t6gA&oe=6A079292,,,,1,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=1Fvz8b7bL09M6l4ZSzaWmg&_nc_ss=7b2a8&oh=00_Af5DXfX05kb4a8VagagJgPZakKV_8OmLPpEdrTulGjaciQ&oe=6A079292,,,,0,,,,
,,,,,posted,,,,,,,,,,https://www.facebook.com/groups/3393946167372584,https://scontent-icn2-1.xx.fbcdn.net/v/t39.30808-6/698658754_1759466731685133_6251199598526829242_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7b2446&_nc_ohc=55bU_GO-DyEQ7kNvwFTIhq1&_nc_oc=AdpskHCC2oKDkMV4DPysjsz0QhWxD-blvaE1LAgqZD3uGRYsKvrxtBQjP0zodh8QF00&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=HVNXXQpKhxEcYHuQujb0Zw&_nc_ss=7b2a8&oh=00_Af7tMReugpbxJCPxeC80yxjX2kB1-5dLpIt6BkQFYs1UvQ&oe=6A079292,,,,0,,,,
